hotelCode,hotelName,categoryCode,categoryName,destinationCode,destinationName,zoneCode,zoneName,latitude,longitude,image,imagesJson,roomCode,roomName,rateKey,rateClass,rateType,net,allotment,paymentType,packaging,boardCode,boardName,rooms,adults,children,cancellationFrom,cancellationAmount
137680,juSTa Gurgaon,4EST,4 STARS,DEL,Delhi and NCR,2,Gurgaon,28.48504700000000000000,77.10627900000000000000,,[],DBL.SU,Superior Room,20260521|20260522|W|270|137680|DBL.SU|GAR-RO EXIN|RO||1~2~0||N@07~~21b23~1343813968~N~~~NOR~~8265F70886B74C0177835376991705AAUK006200000000012161d,NOR,BOOKABLE,29.22,5,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-19T23:59:00+05:30,29.22
137680,juSTa Gurgaon,4EST,4 STARS,DEL,Delhi and NCR,2,Gurgaon,28.48504700000000000000,77.10627900000000000000,,[],DBL.LX-1,Premium Room,20260521|20260522|W|270|137680|DBL.LX-1|GAR-RO EXIN|RO||1~2~0||N@07~~20a27~12809328~N~~~NOR~~8265F70886B74C0177835376991705AAUK0062000000000122620,NOR,BOOKABLE,32.38,8,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-19T23:59:00+05:30,32.38
137680,juSTa Gurgaon,4EST,4 STARS,DEL,Delhi and NCR,2,Gurgaon,28.48504700000000000000,77.10627900000000000000,,[],DBL.DX-1,Deluxe Room,20260521|20260522|W|270|137680|DBL.DX-1|GAR-RO EXIN|RO||1~2~0||N@07~~2492e~-109768081~N~~~NOR~~8265F70886B74C0177835376991705AAUK0062000000000124726,NOR,BOOKABLE,38.71,2,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-19T23:59:00+05:30,38.71
137680,juSTa Gurgaon,4EST,4 STARS,DEL,Delhi and NCR,2,Gurgaon,28.48504700000000000000,77.10627900000000000000,,[],SUI.DX,Suite Room with Bathtub,20260521|20260522|W|270|137680|SUI.DX|GAR-RO EXIN|RO||1~2~0||N@07~~25241~903136395~N~~~NOR~~8265F70886B74C0177835376991705AAUK0062000000000123436,NOR,BOOKABLE,54.52,1,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-19T23:59:00+05:30,54.52
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,,[],DBL.ST,Standard King Room,20260521|20260522|W|270|112029|DBL.ST|BAR-RO-NEW|RO||1~2~0||P@07~~21133~238359103~N~~~NOR~~8265F70886B74C0177835376991705AAUK0062000000000121133,NOR,BOOKABLE,51.17,93,AT_WEB,true,RO,ROOM ONLY,1,2,,2026-05-18T23:59:00+05:30,51.17
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,,[],DBL.ST,Standard King Room,20260521|20260522|W|270|112029|DBL.ST|BAR-RO-NEW|RO||1~2~0||N@07~~20237~489270153~N~~~NOR~~8265F70886B74C0177835376991705AAUK0062000000000120237,NOR,BOOKABLE,55.02,93,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-18T23:59:00+05:30,55.02
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,,[],DBL.ST,Standard King Room,20260521|20260522|W|270|112029|DBL.ST|BAR-BB-NEW|BB||1~2~0||P@07~~20244~79237675~N~~~NOR~~8265F70886B74C0177835376991705AAUK006200000000012623a,NOR,BOOKABLE,58.98,93,AT_WEB,true,BB,BED AND BREAKFAST,1,2,,2026-05-18T23:59:00+05:30,58.98
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,,[],DBL.ST,Standard King Room,20260521|20260522|W|270|112029|DBL.ST|BAR-BB-NEW|BB||1~2~0||N@07~~22b4c~1353016268~N~~~NOR~~8265F70886B74C0177835376991705AAUK0062000000000121c42,NOR,BOOKABLE,66.28,93,AT_WEB,,BB,BED AND BREAKFAST,1,2,,2026-05-18T23:59:00+05:30,66.28
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,,[],DBT.ST,Standard Twin Room,20260521|20260522|W|270|112029|DBT.ST|BAR-RO-NEW|RO||1~2~0||P@07~~21133~1361458999~N~~~NOR~~8265F70886B74C0177835376991705AAUK0062000000000121133,NOR,BOOKABLE,51.17,35,AT_WEB,true,RO,ROOM ONLY,1,2,,2026-05-18T23:59:00+05:30,51.17
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,,[],DBT.ST,Standard Twin Room,20260521|20260522|W|270|112029|DBT.ST|BAR-RO-NEW|RO||1~2~0||N@07~~20237~1612370049~N~~~NOR~~8265F70886B74C0177835376991705AAUK0062000000000120237,NOR,BOOKABLE,55.02,35,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-18T23:59:00+05:30,55.02
