hotelCode,hotelName,categoryCode,categoryName,destinationCode,destinationName,zoneCode,zoneName,latitude,longitude,roomCode,roomName,rateKey,rateClass,rateType,net,allotment,paymentType,packaging,boardCode,boardName,rooms,adults,children,cancellationFrom,cancellationAmount
137680,juSTa Gurgaon,4EST,4 STARS,DEL,Delhi and NCR,2,Gurgaon,28.48504700000000000000,77.10627900000000000000,DBL.SU,Superior Room,20260514|20260516|W|270|137680|DBL.SU|GAR-RO EXIN|RO||1~2~0||N@07~~21a44~931195275~N~~~NOR~~AD76AE9F009A4D4177826976610805AAUK0060000000000123638,NOR,BOOKABLE,56.54,5,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-12T23:59:00+05:30,56.54
137680,juSTa Gurgaon,4EST,4 STARS,DEL,Delhi and NCR,2,Gurgaon,28.48504700000000000000,77.10627900000000000000,DBL.LX-1,Premium Room,20260514|20260516|W|270|137680|DBL.LX-1|GAR-RO EXIN|RO||1~2~0||N@07~~25a4b~1169939219~N~~~NOR~~AD76AE9F009A4D4177826976610805AAUK006000000000012573e,NOR,BOOKABLE,62.87,8,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-12T23:59:00+05:30,62.87
137680,juSTa Gurgaon,4EST,4 STARS,DEL,Delhi and NCR,2,Gurgaon,28.48504700000000000000,77.10627900000000000000,DBL.DX-1,Deluxe Room,20260514|20260516|W|270|137680|DBL.DX-1|GAR-RO EXIN|RO||1~2~0||N@07~~2115b~-289943655~N~~~NOR~~AD76AE9F009A4D4177826976610805AAUK006000000000012344b,NOR,BOOKABLE,75.52,2,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-12T23:59:00+05:30,75.52
137680,juSTa Gurgaon,4EST,4 STARS,DEL,Delhi and NCR,2,Gurgaon,28.48504700000000000000,77.10627900000000000000,SUI.DX,Suite Room with Bathtub,20260514|20260516|W|270|137680|SUI.DX|GAR-RO EXIN|RO||1~2~0||N@07~~22381~-2045524554~N~~~NOR~~AD76AE9F009A4D4177826976610805AAUK0060000000000120f6b,NOR,BOOKABLE,107.15,1,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-12T23:59:00+05:30,107.15
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBL.ST,Standard King Room,20260514|20260516|W|270|112029|DBL.ST|BAR-RO-NEW|RO||1~2~0||P@07~~22266~949641614~N~~~NOR~~AD76AE9F009A4D4177826976610805AAUK0060000000000122266,NOR,BOOKABLE,102.34,83,AT_WEB,true,RO,ROOM ONLY,1,2,,2026-05-11T23:59:00+05:30,102.34
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBL.ST,Standard King Room,20260514|20260516|W|270|112029|DBL.ST|BAR-RO-NEW|RO||1~2~0||N@07~~2046e~-1777651214~N~~~NOR~~AD76AE9F009A4D4177826976610805AAUK006000000000012046e,NOR,BOOKABLE,110.04,83,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-11T23:59:00+05:30,110.04
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBL.ST,Standard King Room,20260514|20260516|W|270|112029|DBL.ST|BAR-BB-NEW|BB||1~2~0||P@07~~20488~643850570~N~~~NOR~~AD76AE9F009A4D4177826976610805AAUK0060000000000126075,NOR,BOOKABLE,117.96,83,AT_WEB,true,BB,BED AND BREAKFAST,1,2,,2026-05-11T23:59:00+05:30,117.96
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBL.ST,Standard King Room,20260514|20260516|W|270|112029|DBL.ST|BAR-BB-NEW|BB||1~2~0||N@07~~25698~-287622579~N~~~NOR~~AD76AE9F009A4D4177826976610805AAUK0060000000000123884,NOR,BOOKABLE,132.56,83,AT_WEB,,BB,BED AND BREAKFAST,1,2,,2026-05-11T23:59:00+05:30,132.56
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBT.ST,Standard Twin Room,20260514|20260516|W|270|112029|DBT.ST|BAR-RO-NEW|RO||1~2~0||P@07~~22266~2072741510~N~~~NOR~~AD76AE9F009A4D4177826976610805AAUK0060000000000122266,NOR,BOOKABLE,102.34,47,AT_WEB,true,RO,ROOM ONLY,1,2,,2026-05-11T23:59:00+05:30,102.34
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBT.ST,Standard Twin Room,20260514|20260516|W|270|112029|DBT.ST|BAR-RO-NEW|RO||1~2~0||N@07~~2046e~-654551318~N~~~NOR~~AD76AE9F009A4D4177826976610805AAUK006000000000012046e,NOR,BOOKABLE,110.04,47,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-11T23:59:00+05:30,110.04
